month,scenario,monthly_expected_value,cumulative_expected_value
1,Pessimistic,1808270.6410538724,1808270.6410538724
2,Pessimistic,1808270.6410538724,3616541.282107745
3,Pessimistic,1808270.6410538724,5424811.9231616175
4,Pessimistic,1808270.6410538724,7233082.56421549
5,Pessimistic,1808270.6410538724,9041353.205269363
6,Pessimistic,1808270.6410538724,10849623.846323235
7,Pessimistic,1808270.6410538724,12657894.487377107
8,Pessimistic,1808270.6410538724,14466165.12843098
9,Pessimistic,1808270.6410538724,16274435.769484852
10,Pessimistic,1808270.6410538724,18082706.410538726
11,Pessimistic,1808270.6410538724,19890977.0515926
12,Pessimistic,1808270.6410538724,21699247.692646474
1,Base,2318295.6936588106,2318295.6936588106
2,Base,2318295.6936588106,4636591.387317621
3,Base,2318295.6936588106,6954887.080976432
4,Base,2318295.6936588106,9273182.774635242
5,Base,2318295.6936588106,11591478.468294052
6,Base,2318295.6936588106,13909774.161952863
7,Base,2318295.6936588106,16228069.855611673
8,Base,2318295.6936588106,18546365.549270485
9,Base,2318295.6936588106,20864661.242929295
10,Base,2318295.6936588106,23182956.936588105
11,Base,2318295.6936588106,25501252.630246915
12,Base,2318295.6936588106,27819548.323905725
1,Optimistic,2735588.9185173963,2735588.9185173963
2,Optimistic,2735588.9185173963,5471177.837034793
3,Optimistic,2735588.9185173963,8206766.755552189
4,Optimistic,2735588.9185173963,10942355.674069585
5,Optimistic,2735588.9185173963,13677944.592586981
6,Optimistic,2735588.9185173963,16413533.511104377
7,Optimistic,2735588.9185173963,19149122.429621775
8,Optimistic,2735588.9185173963,21884711.34813917
9,Optimistic,2735588.9185173963,24620300.266656566
10,Optimistic,2735588.9185173963,27355889.185173962
11,Optimistic,2735588.9185173963,30091478.103691358
12,Optimistic,2735588.9185173963,32827067.022208754
